city,state,city_geoid,LAT,LON,nearest_bg_geoid,walkability_index
Augusta city,ME,230110101005,5517416.4710123455,-7762775.523556807,,
Bangor city,ME,230190311003,5594739.190233602,-7657530.514737141,230190311003,7.666666667
Bar Harbor CDP,ME,230099659002,5524641.189554678,-7593228.369353278,230099659002,5.333333333
Bath city,ME,230239705006,5455006.975200603,-7775353.178863066,,
Belfast city,ME,230270430002,5531585.444715413,-7683985.703043654,230270430002,7.333333333
Berwick CDP,ME,230310320011,5353152.588777663,-7888369.623973994,,
Bethel CDP,ME,230179659002,5528145.922647498,-7879900.548433931,230179659002,8.166666667
Biddeford city,ME,230310253002,5378991.70545568,-7836106.570199932,230310253002,4.166666667
Bingham CDP,ME,230259662002,5630669.632536091,-7778232.791450907,230259662002,7.0
Blaine CDP,ME,230039521002,5860677.789763945,-7555116.471887838,230039521002,4.666666667
Blue Hill CDP,ME,230099663001,5527343.034884236,-7634405.003719747,230099663001,7.5
Boothbay Harbor CDP,ME,230159762001,5443126.009232686,-7750434.422168484,230159762001,9.333333333
Bowdoinham CDP,ME,230239702001,5468725.685798727,-7781373.002966694,230239702001,4.833333333
Bradley CDP,ME,230190080011,5607651.90227363,-7638913.554416365,230190080011,5.333333333
Brewer city,ME,230190043001,5587652.866857808,-7651496.10778022,230190043001,7.666666667
Bridgton CDP,ME,230050160021,5477282.79842761,-7872010.000287523,,
Brownville Junction CDP,ME,230219609001,5676577.472031277,-7687289.108932943,230219609001,5.5
Brunswick CDP,ME,230050111004,5448041.608593964,-7785977.177105905,230050111004,9.0
Bucksport CDP,ME,230099653003,5556959.890756449,-7658629.015472289,230099653003,6.333333333
Calais city,ME,230299555003,5644054.497721509,-7482621.100662099,230299555003,7.5
Camden CDP,ME,230139702004,5498583.55483339,-7688666.131034056,230139702004,6.0
Cape Neddick CDP,ME,230310360042,5338186.463284129,-7861799.108675019,,
Caribou city,ME,230039513004,5915435.398807043,-7562607.160423318,230039513004,4.833333333
Casco CDP,ME,230050130011,5465703.718439784,-7851670.816124683,,
Castine CDP,ME,230099664002,5526615.46431762,-7659450.998592307,230099664002,6.166666667
Chisholm CDP,ME,230079714006,5542038.2131786095,-7813804.489455935,,
Clinton CDP,ME,230110210001,5565748.024591956,-7735441.801828955,230110210001,6.666666667
Corinna CDP,ME,230190140001,5609366.827146835,-7710639.37400225,230190140001,4.666666667
Cornish CDP,ME,230310225001,5434562.524966772,-7880879.0467580035,230310225001,7.166666667
Cousins Island CDP,ME,230050044022,5429425.0458879005,-7808285.8256998565,230050044022,7.666666667
Cumberland Center CDP,ME,230050042021,5433733.093697363,-7819532.990452156,,
Damariscotta CDP,ME,230159753004,5468100.129341625,-7738956.826070242,230159753004,6.666666667
Danforth CDP,ME,230299551002,5725968.74763938,-7555061.146100914,230299551002,6.166666667
Dexter CDP,ME,230190150001,5624073.465079979,-7713846.711170985,230190150001,7.0
Dixfield CDP,ME,230179657002,5549072.278075877,-7842016.299327165,230179657002,4.666666667
Dover-Foxcroft CDP,ME,230219607001,5653863.7008353,-7705893.044873296,230219607001,7.833333333
Dunstan CDP,ME,230050173072,5399002.690647023,-7835356.165512493,,
Eagle Lake CDP,ME,230039507003,5947697.859899455,-7635287.322003773,230039507003,3.833333333
East Millinocket CDP,ME,230190310001,5720791.307816071,-7633597.269494549,230190310001,6.166666667
Eastport city,ME,230299557001,5607511.5346268,-7459425.903643468,230299557001,9.0
Ellsworth city,ME,230099655041,5556099.597023088,-7623169.193555508,230099655041,5.666666667
Fairfield CDP,ME,230259668012,5557257.667647921,-7748417.090356328,,
Falmouth CDP,ME,230050025011,5421599.050197061,-7818085.614432863,230050025011,12.5
Falmouth Foreside CDP,ME,230050025012,5424115.106867242,-7816634.230911898,230050025012,13.16666667
Farmingdale CDP,ME,230110108033,5504361.313949231,-7768266.580079166,,
Farmington CDP,ME,230079712013,5569463.821524816,-7808398.703663522,,
Fort Fairfield CDP,ME,230039517004,5904135.687263667,-7551017.020319886,230039517004,4.333333333
Fort Kent CDP,ME,230039506003,5983261.359818254,-7635093.960048266,230039506003,7.833333333
Freeport CDP,ME,230050045022,5443347.079926884,-7803784.956048104,230050045022,14.83333333
Fryeburg CDP,ME,230179667003,5468554.779727557,-7900566.67794123,230179667003,8.833333333
Gardiner city,ME,230110110004,5495682.768464169,-7769407.048262345,230110110004,4.5
Gorham CDP,ME,230050040021,5418092.133277622,-7840784.103883574,230050040021,12.66666667
Grand Isle CDP,ME,230039502003,5992388.640722619,-7587391.999770477,230039502003,6.5
Gray CDP,ME,230050047022,5447876.956132075,-7828441.55534187,230050047022,8.166666667
Greene CDP,ME,230010460003,5494854.163442784,-7808515.477809365,230010460003,5.833333333
Greenville CDP,ME,230219603013,5695202.365399856,-7745371.500407713,230219603013,5.833333333
Guilford CDP,ME,230219606002,5649685.676700556,-7725020.182420379,230219606002,5.166666667
Hallowell city,ME,230110107003,5510001.526054091,-7772108.660984405,230110107003,8.0
Hampden CDP,ME,230190020002,5581873.722386931,-7663220.276550566,230190020002,6.333333333
Hartland CDP,ME,230259659001,5603522.892666631,-7733272.184953393,230259659001,6.0
Houlton CDP,ME,230039524003,5799832.59219327,-7551047.076582399,230039524003,11.0
Howland CDP,ME,230190285001,5664064.974348944,-7642984.508194675,230190285001,6.333333333
Island Falls CDP,ME,230039527002,5781744.793188486,-7599106.706384107,230039527002,6.5
Jonesport CDP,ME,230299563002,5548669.667359831,-7526042.937838378,230299563002,7.333333333
Kennebunk CDP,ME,230310280031,5370620.64990058,-7852940.526236672,,
Kennebunkport CDP,ME,230310270002,5367424.670517783,-7843602.936029441,230310270002,5.166666667
Kezar Falls CDP,ME,230310225002,5435642.223805424,-7889802.528459485,230310225002,5.5
Kingfield CDP,ME,230079701011,5614361.756244021,-7810678.415515478,230079701011,6.833333333
Kittery CDP,ME,230310380015,5325678.5266249105,-7874553.873291131,230310380015,9.666666667
Kittery Point CDP,ME,230310380013,5326261.603470122,-7869281.670887671,230310380013,5.666666667
Lake Arrowhead CDP,ME,230310240012,5413234.173052251,-7874963.640336741,,
Lewiston city,ME,230010207001,5479304.991856497,-7811521.883297218,230010207001,7.5
Limestone CDP,ME,230039516002,5927592.492879222,-7550893.233046123,230039516002,6.333333333
Lincoln CDP,ME,230190270001,5678799.414130358,-7625577.702058312,230190270001,7.333333333
Lisbon CDP,ME,230010301003,5470040.561484958,-7804333.538498734,,
Lisbon Falls CDP,ME,230010302002,5466775.006894173,-7798780.365700512,230010302002,8.833333333
Little Falls CDP,ME,230050041003,5424590.853329974,-7840830.635430725,230050041003,4.5
Littlejohn Island CDP,ME,230050044022,5428478.781600484,-7806452.838964455,230050044022,7.666666667
Livermore Falls CDP,ME,230010440002,5538867.738443247,-7812491.364742536,230010440002,7.166666667
Lubec CDP,ME,230299558001,5598733.850956982,-7457276.658234723,230299558001,9.833333333
Machias CDP,ME,230299562003,5574515.858676402,-7511684.727276879,230299562003,7.5
Madawaska CDP,ME,230039503004,5998150.865410234,-7606844.190230675,230039503004,5.0
Madison CDP,ME,230259665002,5591312.384663017,-7775707.174843788,230259665002,6.833333333
Mapleton CDP,ME,230039511003,5890120.767335813,-7586555.433797165,230039511003,3.166666667
Mars Hill CDP,ME,230039521003,5863943.750823242,-7555222.002765111,230039521003,4.166666667
Mattawamkeag CDP,ME,230190255001,5703397.016525579,-7608871.874755475,230190255001,4.5
Mechanic Falls CDP,ME,230010415001,5482739.667185107,-7836229.912195731,230010415001,5.833333333
Mexico CDP,ME,230179654003,5552039.778440151,-7851780.577142606,230179654003,11.66666667
Milbridge CDP,ME,230299565003,5547703.037131791,-7558025.250182267,230299565003,7.5
Milford CDP,ME,230190080013,5614822.198761453,-7639961.627422184,230190080013,5.666666667
Millinocket CDP,ME,230190300001,5725905.516215386,-7647442.853800946,230190300001,6.0
Milo CDP,ME,230219608005,5660700.103416602,-7675540.672513602,,
Naples CDP,ME,230050140011,5459343.563397221,-7859410.415041576,,
Newcastle CDP,ME,230159754002,5472966.383025695,-7740407.096396297,230159754002,8.0
Newport CDP,ME,230190130002,5595807.232801827,-7709414.19168658,230190130002,8.0
Norridgewock CDP,ME,230259669002,5577990.52282722,-7765989.2059365185,230259669002,4.666666667
North Anson CDP,ME,230259664001,5600115.374189673,-7781119.194527686,230259664001,5.166666667
North Berwick CDP,ME,230310330002,5357168.025875209,-7873733.671282966,230310330002,4.5
Northeast Harbor CDP,ME,230099660002,5510455.929128822,-7602102.981798299,230099660002,8.666666667
North Windham CDP,ME,230050048043,5438607.727761386,-7840371.10857273,,
Norway CDP,ME,230179665004,5501222.547665907,-7855085.875463238,230179665004,11.0
Oakfield CDP,ME,230039526002,5796706.834993048,-7586606.752082421,230039526002,3.833333333
Oak Hill CDP,ME,230050173052,5403188.200146109,-7830307.603966038,,
Oakland CDP,ME,230110250013,5551340.693225433,-7759652.34392311,,
Old Orchard Beach CDP,ME,230310061042,5393573.385542256,-7832088.159221276,,
Old Town city,ME,230190072002,5614309.531244005,-7652067.176767989,230190072002,4.5
Orono CDP,ME,230190062003,5602376.489735181,-7646329.213615048,230190062003,7.666666667
Oxford CDP,ME,230179664012,5487888.588304149,-7850681.408490513,,
Patten CDP,ME,230190290002,5781045.216366997,-7619013.414325214,230190290002,6.333333333
Pittsfield CDP,ME,230259660003,5584330.337176415,-7722537.201178235,230259660003,5.5
Portland city,ME,230050024001,5408846.7812727075,-7812992.4137705965,230050024001,11.83333333
Presque Isle city,ME,230039518004,5891356.9395876,-7568982.427661049,230039518004,7.666666667
Randolph CDP,ME,230110106013,5502236.468882271,-7764673.298235851,,
Rangeley CDP,ME,230079706011,5616155.050322085,-7864960.916172021,230079706011,6.166666667
